epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7865118384361267,0.0010000000474974513,0.6494036316871643,0.9633322358131409,0.1232682317495346
1,0.9152183532714844,0.0010000000474974513,0.27291297912597656,0.9742682576179504,0.08580455183982849
2,0.9350253343582153,0.0010000000474974513,0.2048923820257187,0.9808083772659302,0.06720227748155594
3,0.9447929263114929,0.0010000000474974513,0.1785992980003357,0.9812372922897339,0.06372908502817154
4,0.9519972205162048,0.0010000000474974513,0.15527266263961792,0.9833815693855286,0.060500368475914
5,0.954754650592804,0.0010000000474974513,0.14592668414115906,0.9835960268974304,0.05623682588338852
6,0.9589102268218994,0.0010000000474974513,0.13293303549289703,0.985954761505127,0.0504976250231266
7,0.9621919989585876,0.0010000000474974513,0.12432245165109634,0.9849898219108582,0.052307844161987305
8,0.9643668532371521,0.0010000000474974513,0.11645122617483139,0.9873485565185547,0.043326400220394135
9,0.9645804762840271,0.0010000000474974513,0.11198215931653976,0.9872413277626038,0.043708913028240204
10,0.9660174250602722,0.0010000000474974513,0.1084280014038086,0.9885279536247253,0.04081176966428757
11,0.9680758118629456,0.0010000000474974513,0.1030060350894928,0.9897072911262512,0.03904400020837784
12,0.969143807888031,0.0010000000474974513,0.09872119128704071,0.9897072911262512,0.035729534924030304
13,0.9715129137039185,0.0010000000474974513,0.09392086416482925,0.9888495802879333,0.03717665746808052
14,0.9711050987243652,0.0010000000474974513,0.09175659716129303,0.9898145198822021,0.03528771921992302
15,0.9714934825897217,0.0010000000474974513,0.09333264082670212,0.9885279536247253,0.03772684186697006
16,0.973124623298645,0.0010000000474974513,0.08699729293584824,0.990028977394104,0.033501800149679184
17,0.9734742045402527,0.0010000000474974513,0.08733245730400085,0.9902433753013611,0.03253672644495964
18,0.9737460613250732,0.0010000000474974513,0.0831255316734314,0.9909939169883728,0.03275648504495621
19,0.9740179181098938,0.0010000000474974513,0.08306130766868591,0.990779459476471,0.030197322368621826
